SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1494.00,1557.70,1479.30,1533.05,1522.85,1484.85,1030,9837,15077661.00,
500003,AEGIS LOGIS ,A ,Q,210.90,215.70,210.40,214.00,215.50,211.45,341,8431,1796250.00,
500008,AMAR RAJA BA,A ,Q,635.75,649.00,627.55,644.90,644.65,635.75,563,16292,10392147.00,
500009,A.SARABHAI  ,X ,Q,12.40,13.30,12.40,12.77,12.84,12.99,45,7943,100416.00,
500010,HDFC        ,A ,Q,2259.80,2259.80,2198.20,2232.70,2232.70,2261.05,3270,89883,199720186.00,
500012,ANDHRA PETRO,X ,Q,50.90,51.55,50.30,51.10,51.10,50.90,137,13853,709278.00,
500013,ANSAL INFRAS,B ,Q,5.32,5.39,5.15,5.16,5.15,5.32,26,4869,25166.00,
500014,APPLE FINANC,XT,Q,1.41,1.41,1.41,1.41,1.41,1.41,2,361,509.00,
500020,BOM DYEING  ,A ,Q,101.05,104.50,99.00,101.90,101.90,101.25,1911,173527,17818012.00,
500024,ASSAMCO     ,T ,Q,1.52,1.54,1.44,1.44,1.44,1.51,25,28985,42388.00,
500027,ATUL LTD.   ,A ,Q,3876.60,3955.00,3855.95,3900.05,3900.00,3912.35,205,735,2864224.00,
500028,ATV PROJECTS,XT,Q,3.45,3.45,3.45,3.45,3.45,3.61,2,300,1035.00,
500029,AUTOLITE(I) ,Z ,Q,23.90,23.90,23.90,23.90,23.90,24.95,1,146,3489.00,
500031,BAJAJ ELECT.,A ,Q,503.05,507.70,475.00,482.15,482.15,504.20,796,9032,4444089.00,
500032,BAJAJHIND   ,B ,Q,7.25,7.33,7.18,7.25,7.25,7.27,144,164696,1191351.00,
500033,FORCE MOTR  ,A ,Q,1335.00,1351.35,1320.00,1323.20,1323.20,1335.90,711,5578,7419527.00,
